"Name"	"Description"	"Language"	"Topics"	"URL"	"Stars"
"karpathy/autoresearch"	"AI agents running research on single-GPU nanochat training automatically"	"Python"	""	"https://github.com/karpathy/autoresearch"	"25545"
"aakriti1318/interview_questions"	"A curated collection of high-quality interview questions and answers for AI-related roles. This repository helps candidates understand how interviews differ across roles, not just memorize answers."	"Unknown"	""	"https://github.com/aakriti1318/interview_questions"	"885"
"alexeygrigorev/ai-engineering-field-guide"	"Research into AI engineering interview assignments, take-home challenges, and hiring practices from Q4 2025 / Q1 2026"	"HTML"	""	"https://github.com/alexeygrigorev/ai-engineering-field-guide"	"599"
"Raphire/Win11Debloat"	"A simple, lightweight PowerShell script that allows you to remove pre-installed apps, disable telemetry, as well as perform various other changes to declutter and customize your Windows experience. Win11Debloat works for both Windows 10 and Windows 11."	"PowerShell"	"automated,bloatware,bloatware-removal,cleanup,cli,debloat,debloater,interactive,optimize,powershell,powershell-script,privacy,ps1,registry-tweaks,tweaks,windows,windows-10,windows-11,windows10,windows11"	"https://github.com/Raphire/Win11Debloat"	"41556"
"VectifyAI/PageIndex"	"≡ƒôæ PageIndex: Document Index for Vectorless, Reasoning-based RAG"	"Python"	"agentic-ai,agents,ai,ai-agents,context-engineering,information-retrieval,llm,rag,reasoning,retrieval,retrieval-augmented-generation,vector-database"	"https://github.com/VectifyAI/PageIndex"	"21223"
"bytebot-ai/bytebot"	"Bytebot is a self-hosted AI desktop agent that automates computer tasks through natural language commands, operating within a containerized Linux desktop environment."	"TypeScript"	"agent,agentic-ai,agents,ai,ai-agents,ai-tools,anthropic,automation,bytebot,computer-use,computer-use-agent,cua,desktop,desktop-automation,docker,gemini,llm,mcp,openai"	"https://github.com/bytebot-ai/bytebot"	"10547"
"llmsresearch/paperbanana"	"Open source implementation and extension of Google ResearchΓÇÖs PaperBanana for automated academic figures, diagrams, and research visuals, expanded to new domains like slide generation."	"Python"	"academic-diagrams,academic-research,agentic-ai,arxiv,diagram-generation,gemini,google-gemini,llm,llms,mcp,mcp-server,multiagent,neurips,paperbanana,python-ai-research-tools,research-automation,research-tools,scientific-visualization,text-to-image,vlm"	"https://github.com/llmsresearch/paperbanana"	"1141"
"cheahjs/free-llm-api-resources"	"A list of free LLM inference resources accessible via API."	"Python"	"ai,claude,gemini,llama,llm,openai"	"https://github.com/cheahjs/free-llm-api-resources"	"15229"
"Pavelevich/llm-checker"	"Advanced CLI tool that scans your hardware and tells you exactly which LLM or sLLM models you can run locally, with full Ollama integration."	"JavaScript"	""	"https://github.com/Pavelevich/llm-checker"	"1450"
"millionco/react-doctor"	"Let coding agents diagnose and fix your React code"	"TypeScript"	"agents,code-review,doctor,react,skill"	"https://github.com/millionco/react-doctor"	"5623"
"logancyang/obsidian-copilot"	"THE Copilot in Obsidian"	"TypeScript"	"ai,aiagent,chatgpt,copilot,obsidian-plugin"	"https://github.com/logancyang/obsidian-copilot"	"6356"
"e2b-dev/awesome-ai-agents"	"A list of AI autonomous agents"	"Unknown"	"agent,ai,artificial-intelligence,autogpt,autonomous-agents,awesome,babyagi,copilot,gpt,gpt-4,gpt-engineer,openai,python"	"https://github.com/e2b-dev/awesome-ai-agents"	"26379"
"danittech/agents_mcp_demo"	"Agents MCP demo"	"Python"	""	"https://github.com/danittech/agents_mcp_demo"	"11"
"cookiecutter/cookiecutter"	"A cross-platform command-line utility that creates projects from cookiecutters (project templates), e.g. Python package projects, C projects."	"Python"	"cookiecutter,python"	"https://github.com/cookiecutter/cookiecutter"	"24728"
"vudovn/antigravity-kit"	"No description"	"TypeScript"	""	"https://github.com/vudovn/antigravity-kit"	"5752"
"OpenHands/software-agent-sdk"	"A clean, modular SDK for building AI agents with OpenHands V1."	"Python"	"agent,sdk"	"https://github.com/OpenHands/software-agent-sdk"	"572"
"KeygraphHQ/shannon"	"Shannon Lite is a fully autonomous AI pentester for web apps and APIs. 96.15% (100/104 exploits) on a hint-free, source-aware variant of the XBOW benchmark."	"TypeScript"	"penetration-testing,pentesting,security-audit,security-automation,security-tools"	"https://github.com/KeygraphHQ/shannon"	"33170"
"Orchestra-Research/AI-Research-SKILLs"	"Comprehensive open-source library of AI research and engineering skills for any AI model. Package the skills and your claude code/codex/gemini agent will be an AI research agent with full horsepower. Maintained by Orchestra Research."	"TeX"	"ai,ai-research,claude,claude-code,claude-skills,codex,gemini,gpt-5,grpo,huggingface,machine-leanring,megatron,skills,vllm"	"https://github.com/Orchestra-Research/AI-Research-SKILLs"	"4778"
"Saas-Starter-Kit/SAAS-Starter-Kit-Pro"	"A boilerplate for building Software-as-Service (SAAS) apps with Reactjs, and Nodejs"	"HTML"	"aws,boilerplate,hackathon-starter,nextjs,nodejs,react,reactjs,saas,saas-boilerplate,stripe,styled-components"	"https://github.com/Saas-Starter-Kit/SAAS-Starter-Kit-Pro"	"608"
"BerriAI/litellm"	"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]"	"Python"	"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,vertex-ai"	"https://github.com/BerriAI/litellm"	"38673"
"sheeki03/tirith"	"Your browser catches homograph attacks. Your terminal doesn't. Tirith guards the gate and intercepts suspicious URLs, ANSI injection, and pipe-to-shell attacks before they execute."	"Rust"	"cli,devtools,homograph-attack,rust,security,shell,supply-chain-security,terminal,unicode,url-security"	"https://github.com/sheeki03/tirith"	"2006"
"transitive-bullshit/agentic"	"Your API ΓçÆ Paid MCP. Instantly."	"TypeScript"	"agents,ai,llms,openai"	"https://github.com/transitive-bullshit/agentic"	"18131"
"mithun50/SuperGravity"	"No description"	"Python"	""	"https://github.com/mithun50/SuperGravity"	"23"
"ShepAlderson/copilot-orchestra"	"No description"	"Unknown"	""	"https://github.com/ShepAlderson/copilot-orchestra"	"783"
"jemishavasoya/dev-cleaner"	"≡ƒº╣ One-click interactive shell script to safely deep clean development caches (Xcode, Flutter, FVM, Android, npm, Gradle, IDEs) on macOS & Linux. Recover 50GB+ of storage instantly"	"PowerShell"	"android,bash,bash-script,cleanup,flutter,gradle,homebrew,linux,macos,opensource,productivity,shellscript,utility,vscode,xcode"	"https://github.com/jemishavasoya/dev-cleaner"	"180"
"czl9707/gh-space-shooter"	"Visualizes GitHub contribution graphs as Space Shooter!"	"Python"	"github,github-actions,github-contribution-graph,github-profile-readme,readme,shooter-game"	"https://github.com/czl9707/gh-space-shooter"	"781"
"aden-hive/hive"	"Outcome driven agent development framework that evolves"	"Python"	"agent,agent-framework,agent-skills,ai-evaluation,anthropic,automation,autonomous-agents,awesome,claude,claude-code,human-in-the-loop,observability-ai,openai,python,self-hosted,self-improving,self-improving-agent,self-improving-ai"	"https://github.com/aden-hive/hive"	"9214"
"404kidwiz/claude-supercode-skills"	"133 Agent Skills converted from Claude Code subagents to Anthropic Agent Skills format. 100% quality compliance. 12 major domains covered."	"Python"	""	"https://github.com/404kidwiz/claude-supercode-skills"	"44"
"TransformerOptimus/SuperAGI"	"<ΓÜí∩╕Å> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."	"Python"	"agents,agi,ai,artificial-general-intelligence,artificial-intelligence,autonomous-agents,gpt-4,hacktoberfest,llm,llmops,nextjs,openai,pinecone,python,superagi"	"https://github.com/TransformerOptimus/SuperAGI"	"17256"
"Significant-Gravitas/AutoGPT"	"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."	"Python"	"ai,artificial-intelligence,autonomous-agents,gpt-4,llama-api,openai,python"	"https://github.com/Significant-Gravitas/AutoGPT"	"182361"
"leomariga/ProactiveAgent"	"Transform your AI from reactive to proactive with intelligent timing and context-aware wake-up patterns."	"Python"	"active,agent,ai,async,autonomous,autonomous-agents,decision-making,engage,llm,natural-language,proactive,proactive-ai,python,schedualing,sleep,thread,time,time-awareness,timing,wake-up"	"https://github.com/leomariga/ProactiveAgent"	"21"
"thunlp/ProactiveAgent"	"A LLM-based Agent that predict its tasks proactively."	"Python"	""	"https://github.com/thunlp/ProactiveAgent"	"525"
"openaiotlab/ContextAgent"	"[NeurIPS'25] ContextAgent: Context-Aware Proactive LLM Agents with Open-World Sensory Perceptions"	"Python"	""	"https://github.com/openaiotlab/ContextAgent"	"31"
"a-real-ai/pywinassistant"	"The first open-source Artificial Narrow Intelligence generalist agentic framework Computer-Using-Agent that fully operates graphical-user-interfaces (GUIs) by using only natural language. Uses Visualization-of-Thought and Chain-of-Thought reasoning to elicit spatial reasoning and perception, emulates, plans and simulates synthetic HID interactions."	"Python"	"artificial-general-intelligence,artificial-intelligence-algorithms,artificial-narrow-intelligence,computer-using-agent,cot,cua,graphical-user-interface,ui,ui-ux,ux,vot"	"https://github.com/a-real-ai/pywinassistant"	"1333"
"Jenqyang/Awesome-AI-Agents"	"A collection of autonomous agents ≡ƒñû∩╕Å powered by LLM."	"Unknown"	"agent,agents,llm,llm-powered-agents,multi-agent"	"https://github.com/Jenqyang/Awesome-AI-Agents"	"1008"
"agent0ai/agent-zero"	"Agent Zero AI framework"	"Python"	"agent,ai,assistant,autonomous,linux,zero"	"https://github.com/agent0ai/agent-zero"	"16000"
"openclaw/openclaw"	"Your own personal AI assistant. Any OS. Any Platform. The lobster way. ≡ƒª₧ "	"TypeScript"	"ai,assistant,crustacean,molty,openclaw,own-your-data,personal"	"https://github.com/openclaw/openclaw"	"303399"
"MCPJam/inspector"	"Test & Debug MCP servers, ChatGPT apps, and MCP Apps (ext-apps)"	"TypeScript"	"chatgpt,mcp,mcp-apps,mcp-clients,mcp-tools,modelcontextprotocol,opensource"	"https://github.com/MCPJam/inspector"	"1792"
"affaan-m/everything-claude-code"	"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."	"JavaScript"	"ai-agents,anthropic,claude,claude-code,developer-tools,llm,mcp,productivity"	"https://github.com/affaan-m/everything-claude-code"	"71707"
"autogluon/autogluon"	"Fast and Accurate ML in 3 Lines of Code"	"Python"	"autogluon,automated-machine-learning,automl,computer-vision,data-science,deep-learning,ensemble-learning,forecasting,gluon,hyperparameter-optimization,machine-learning,natural-language-processing,object-detection,python,pytorch,scikit-learn,structured-data,tabular-data,time-series,transfer-learning"	"https://github.com/autogluon/autogluon"	"10087"
"udlbook/udlbook"	"Understanding Deep Learning - Simon J.D. Prince"	"Jupyter Notebook"	""	"https://github.com/udlbook/udlbook"	"9178"
"huangserva/skill-prompt-generator"	"Φ┐Öµÿ»Σ╕ÇΣ╕¬σƒ║Σ║ÄClaude SkillτÜä**AIΣ║║σâÅPromptτöƒµêÉτ│╗τ╗ƒ**∩╝îΦâ╜σñƒΣ╗Äτë╣σ╛üσ║ôΣ╕¡µÖ║Φâ╜τ╗äσÉêτöƒµêÉΘ½ÿΦ┤¿ΘçÅτÜäΣ║║σâÅµÅÅΦ┐░Prompt∩╝îσ╣╢σà╖σñçΦç¬σè¿σ¡ªΣ╣áσÆîσ║ôµë⌐σ▒òΦâ╜σè¢πÇé µá╕σ┐âΦâ╜σè¢: PromptτöƒµêÉπÇüτë╣σ╛üµÅÉσÅûπÇüΦç¬σè¿σ¡ªΣ╣áπÇüµÖ║Φâ╜σ«íµá╕πÇüτëêµ£¼µÄºσê╢"	"Python"	""	"https://github.com/huangserva/skill-prompt-generator"	"1148"
"VoltAgent/awesome-claude-code-subagents"	"A collection of 100+ specialized Claude Code subagents covering a wide range of development use cases"	"Shell"	"ai-agent-framework,ai-agent-tools,ai-agents,awesome,awesome-list,claude,claude-ai,claude-code-subagents,claude-subagents,subagents"	"https://github.com/VoltAgent/awesome-claude-code-subagents"	"13321"
"NirDiamant/agents-towards-production"	" This repository delivers end-to-end, code-first tutorials covering every layer of production-grade GenAI agents, guiding you from spark to scale with proven patterns and reusable blueprints for real-world launches."	"Jupyter Notebook"	"agent,agent-framework,agents,ai-agents,genai,generative-ai,llm,llms,mlops,multi-agent,production,tool-integration,tutorials"	"https://github.com/NirDiamant/agents-towards-production"	"18147"
"czlonkowski/n8n-mcp"	"A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you "	"TypeScript"	"mcp,mcp-server,n8n,workflows"	"https://github.com/czlonkowski/n8n-mcp"	"14900"
"gsd-build/get-shit-done"	"A light-weight and powerful meta-prompting, context engineering and spec-driven development system for Claude Code by T├éCHES."	"JavaScript"	"claude-code,context-engineering,meta-prompting,spec-driven-development"	"https://github.com/gsd-build/get-shit-done"	"28014"
"whawkinsiv/solo-founder-superpowers"	"Skillset optimized for solo, bootstrapped, and non-technical founders building SaaS applications with AI tools (Lovable, Replit, Claude Code)."	"Shell"	""	"https://github.com/whawkinsiv/solo-founder-superpowers"	"150"
"pedroslopez/whatsapp-web.js"	"A WhatsApp client library for NodeJS that connects through the WhatsApp Web browser app"	"JavaScript"	"api,bot,bot-api,hacktoberfest,whatsapp,whatsapp-api,whatsapp-bot,whatsapp-web,whatsapp-web-api"	"https://github.com/pedroslopez/whatsapp-web.js"	"21362"
"BUZASLAN128/HiveMind-Actions"	"The First ""Serverless"" Swarm AI for GitHub Actions. Turn your repository into a self-healing, multi-agent AI workspace with zero infrastructure cost."	"Unknown"	""	"https://github.com/BUZASLAN128/HiveMind-Actions"	"23"
"sickn33/antigravity-awesome-skills"	"The Ultimate Collection of 1000+ Agentic Skills for Claude Code/Antigravity/Cursor. Battle-tested, high-performance skills for AI agents including official skills from Anthropic and Vercel."	"Python"	"agentic-skills,ai-agents,antigravity,autonomous-coding,claude-code,mcp,react-patterns,security-auditing"	"https://github.com/sickn33/antigravity-awesome-skills"	"23229"
"vercel-labs/agent-skills"	"Vercel's official collection of agent skills"	"JavaScript"	""	"https://github.com/vercel-labs/agent-skills"	"22750"
"gyoridavid/ai_agents_az"	"No description"	"Python"	"n8n,n8n-workflow,workflows"	"https://github.com/gyoridavid/ai_agents_az"	"3697"
"RDI-Foundation/agentbeats-tutorial"	"No description"	"Python"	""	"https://github.com/RDI-Foundation/agentbeats-tutorial"	"80"
"humanlayer/humanlayer"	"The best way to get AI coding agents to solve hard problems in complex codebases."	"TypeScript"	"agents,ai,amp,claude-code,codex,human-in-the-loop,humanlayer,llm,llms,opencode"	"https://github.com/humanlayer/humanlayer"	"9783"
"punkpeye/awesome-mcp-servers"	"A collection of MCP servers."	"Unknown"	"ai,mcp"	"https://github.com/punkpeye/awesome-mcp-servers"	"82778"
"enescingoz/awesome-n8n-templates"	"Supercharge your workflow automation with this curated collection of n8n templates! Instantly connect your favorite apps-like Gmail, Telegram, Google Drive, Slack, and more-with ready-to-use, AI-powered automations. Save time, boost productivity, and unlock the true potential of n8n in just a few clicks."	"Unknown"	"automation,automation-templates,integration,n8n,n8n-automation,n8n-template,no-code-ai,no-code-automation,workflow-automation"	"https://github.com/enescingoz/awesome-n8n-templates"	"20007"
"nusquama/n8nworkflows.xyz"	"N8N Workflows Catalog"	"Unknown"	"n8n,n8n-automation,n8n-node,n8n-nodes,n8n-template,n8n-workflow,n8n-workflows"	"https://github.com/nusquama/n8nworkflows.xyz"	"2083"
"zengfr/n8n-workflow-all-templates"	"8209+N8N Workflow Collection∩╝în8n-workflow-all-templates∩╝îMost comprehensive.synchronized and updated every 1 months."	"Unknown"	"8n8,ai-workflow,coze,dify,dify-plugin,n8n,n8n-automation,n8n-nodes,n8n-template,n8n-templates,n8n-workflow,templates,workflow"	"https://github.com/zengfr/n8n-workflow-all-templates"	"63"
"100rabhkr/promptctl"	"No description"	"TypeScript"	""	"https://github.com/100rabhkr/promptctl"	"5"
"firecrawl/firecrawl"	"≡ƒöÑ The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data"	"TypeScript"	"ai,ai-agents,ai-crawler,ai-scraping,ai-search,crawler,data-extraction,html-to-markdown,llm,markdown,scraper,scraping,web-crawler,web-data,web-data-extraction,web-scraper,web-scraping,web-search,webscraping"	"https://github.com/firecrawl/firecrawl"	"91186"
"harvard-edge/cs249r_book"	"Machine Learning Systems"	"JavaScript"	"artificial-intelligence,cloud-ml,computer-systems,courseware,deep-learning,edge-machine-learning,embedded-ml,machine-learning,machine-learning-systems,mobile-ml,textbook,tinyml"	"https://github.com/harvard-edge/cs249r_book"	"22530"
"wassengerhq/whatsapp-chatgpt-bot"	"Ready-to-use AI Multimodal ChatGPT-based WhatsApp chatbot assistant for your business. Now supports GPT-4o with text + audio + image input, audio responses, and improved RAG + MCP ≡ƒñ⌐"	"JavaScript"	"ai-bot,chatbot,chatgpt,gemini,openai,whatsapp,whatsapp-ai,whatsapp-api,whatsapp-automation,whatsapp-bot,whatsapp-chat,whatsapp-chatbot"	"https://github.com/wassengerhq/whatsapp-chatgpt-bot"	"147"
"obviousworks/vibe-coding-ai-rules"	"The Ultimate Agentic Vibe Coding Guide for AI IDEs like Windsurf, Claude Code, Cursor, Codex etc. ΓÇô AI-optimized rules, best practices, and configuration files for efficient and controlled AI-powered coding."	"Unknown"	"agent-rules,agentic-coding,agentic-coding-rules,ai-agents,vibe-coding,vibe-coding-rules"	"https://github.com/obviousworks/vibe-coding-ai-rules"	"58"
"PatrickJS/awesome-cursorrules"	"≡ƒôä  Configuration files that enhance Cursor AI editor experience with custom rules and behaviors"	"MDX"	"awesome,awesome-list,cursor,cursor-ai-editor,cursorrules"	"https://github.com/PatrickJS/awesome-cursorrules"	"38383"
"anthropics/claude-plugins-official"	"Official, Anthropic-managed directory of high quality Claude Code Plugins."	"Python"	"claude-code,mcp,skills"	"https://github.com/anthropics/claude-plugins-official"	"9793"
"obra/superpowers"	"An agentic skills framework & software development methodology that works."	"Shell"	""	"https://github.com/obra/superpowers"	"77709"
"vercel-labs/ralph-loop-agent"	"Continuous Autonomy for the AI SDK"	"TypeScript"	"experimental"	"https://github.com/vercel-labs/ralph-loop-agent"	"701"
"public-apis/public-apis"	"A collective list of free APIs"	"Python"	"api,apis,dataset,development,free,list,lists,open-source,public,public-api,public-apis,resources,software"	"https://github.com/public-apis/public-apis"	"406773"
"apvlv/davinci-resolve-mcp"	"A Model Context Protocol (MCP) server for interacting with DaVinci Resolve and Fusion"	"Python"	""	"https://github.com/apvlv/davinci-resolve-mcp"	"52"
"anthropics/skills"	"Public repository for Agent Skills"	"Python"	"agent-skills"	"https://github.com/anthropics/skills"	"90549"
"anthropics/prompt-eng-interactive-tutorial"	"Anthropic's Interactive Prompt Engineering Tutorial"	"Jupyter Notebook"	""	"https://github.com/anthropics/prompt-eng-interactive-tutorial"	"33267"
"OthmanAdi/planning-with-files"	"Claude Code skill implementing Manus-style persistent markdown planning ΓÇö the workflow pattern behind the $2B acquisition."	"Python"	"adal,agent,agent-skills,agents,antigravity,claude,claude-code,claude-skills,clawd,clawdbot,clawdbot-skill,clawdhub,codebuddy,cursor,factory-ai,kilocode,manus,manus-ai,moltbot,moltbot-skills"	"https://github.com/OthmanAdi/planning-with-files"	"15802"
"Siddhant-Goswami/100x-LLM"	"Code snippets and examples from the 100x Applied AI cohort lectures."	"Python"	""	"https://github.com/Siddhant-Goswami/100x-LLM"	"488"
"patchy631/ai-engineering-hub"	"In-depth tutorials on LLMs, RAGs and real-world AI agent applications."	"Jupyter Notebook"	"agents,ai,llms,machine-learning,mcp,rag"	"https://github.com/patchy631/ai-engineering-hub"	"31683"
"OpenHands/OpenHands"	"≡ƒÖî OpenHands: AI-Driven Development"	"Python"	"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai"	"https://github.com/OpenHands/OpenHands"	"68932"
"timescale/pg-aiguide"	"MCP server and Claude plugin for Postgres skills and documentation. Helps AI coding tools generate better PostgreSQL code."	"Python"	"ai,ai-agents,ai-coding,claude-code-plugin,claude-code-plugins,claude-code-plugins-marketplace,claude-marketplace,claude-plugin,claude-skills,docs,documentation,mcp,mcp-server,postgres,postgresql,skills"	"https://github.com/timescale/pg-aiguide"	"1602"
"coollabsio/coolify"	"An open-source, self-hostable PaaS alternative to Vercel, Heroku & Netlify that lets you easily deploy static sites, databases, full-stack applications and 280+ one-click services on your own servers."	"PHP"	"coolify,databases,deployment,docker,docker-compose,inertiajs,laravel,mariadb,mysql,nextjs,nodejs,php,postgres,redis,self-hosted,self-hosting,server,static-site,svelte,svelte5"	"https://github.com/coollabsio/coolify"	"51580"
"badrisnarayanan/antigravity-claude-proxy"	"Proxy that exposes Antigravity provided claude / gemini models, so we can use them in Claude Code and OpenClaw (Clawdbot)"	"JavaScript"	"antigravity,claude,claude-ai,claude-code,clawdbot,gemini,gemini-cli,openclaw,proxy"	"https://github.com/badrisnarayanan/antigravity-claude-proxy"	"3115"
"ixartz/SaaS-Boilerplate"	"≡ƒÜÇ≡ƒÄë≡ƒôÜ SaaS Boilerplate built with Next.js + Tailwind CSS + Shadcn UI + TypeScript. ΓÜí∩╕Å Full-stack React application with Auth, Multi-tenancy, Roles & Permissions, i18n, Landing Page, DB, Logging, Testing"	"TypeScript"	"authentication,boilerplate,multi-tenancy,nextjs,react,reactjs,saas,saas-app,saas-application,saas-boilerplate,saas-kit,shadcn-ui,stack,starter,starter-kit,starter-project,starter-template,template,template-project,typescript"	"https://github.com/ixartz/SaaS-Boilerplate"	"6891"
"Shubhamsaboo/awesome-llm-apps"	"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."	"Python"	"agents,llms,python,rag"	"https://github.com/Shubhamsaboo/awesome-llm-apps"	"101616"
"aiplanethub/openagi"	"Paving the way for open agents and AGI for all."	"Jupyter Notebook"	"agents,agi,generative-ai,hacktoberfest,hacktoberfest-accepted,hacktoberfest2023,hacktoberfest2024,large-language-models,llm,openagi,openai"	"https://github.com/aiplanethub/openagi"	"565"
"transformerlab/transformerlab-app"	"The open source research environment for AI researchers to seamlessly train, evaluate, and scale models from local hardware to GPU clusters."	"Python"	"diffusion,diffusion-models,electron,llama,llms,lora,mlx,rlhf,stability-diffusion,transformers"	"https://github.com/transformerlab/transformerlab-app"	"4820"
"Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies"	"This repository contains a curated collection of 300+ case studies from over 80 companies, detailing practical applications and insights into machine learning (ML) system design. The contents are organized to help you easily find relevant case studies based on industry or specific ML use cases. "	"Unknown"	""	"https://github.com/Engineer1999/A-Curated-List-of-ML-System-Design-Case-Studies"	"9336"
"exo-explore/exo"	"Run frontier AI locally."	"Python"	""	"https://github.com/exo-explore/exo"	"42473"
"farion1231/cc-switch"	"A cross-platform desktop All-in-One assistant tool for Claude Code, Codex, OpenCode, openclaw & Gemini CLI."	"Rust"	"ai-tools,claude-code,codex,desktop-app,mcp,minimax,omo,open-source,openclaw,openclaw-ui,opencode,provider-management,rust,skills,skills-management,tauri,typescript,wsl-support"	"https://github.com/farion1231/cc-switch"	"26743"
"owenkaplinsky/MCP-Blockly"	"No description"	"JavaScript"	""	"https://github.com/owenkaplinsky/MCP-Blockly"	"2"
"numman-ali/openskills"	"Universal skills loader for AI coding agents - npm i -g openskills"	"TypeScript"	""	"https://github.com/numman-ali/openskills"	"8953"
"MoizIbnYousaf/Ai-Agent-Skills"	"Homebrew for AI Agent Skills."	"Python"	""	"https://github.com/MoizIbnYousaf/Ai-Agent-Skills"	"911"
"afshinea/stanford-cs-229-machine-learning"	"VIP cheatsheets for Stanford's CS 229 Machine Learning"	"Unknown"	"cheatsheet,cs229,data-science,deep-learning,machine-learning,ml-cheatsheet,supervised-learning,unsupervised-learning"	"https://github.com/afshinea/stanford-cs-229-machine-learning"	"19292"
"google/tunix"	"A Lightweight LLM Post-Training Library"	"Python"	""	"https://github.com/google/tunix"	"2182"
"GetVik/getvik"	"No description"	"TypeScript"	""	"https://github.com/GetVik/getvik"	"7"
"N1KH1LT0X1N/Pramana.AI"	"≡ƒº¼ AI-powered biomedical research platform built with LangGraph, Groq, and React 19. Features 5 specialized agents, real-time streaming, and Model Context Protocol (MCP) integration."	"TypeScript"	"biomedical-research,deep-research,groq,langgraph,mcp-agent,multi-agent,react-19"	"https://github.com/N1KH1LT0X1N/Pramana.AI"	"1"
"mayooear/ai-pdf-chatbot-langchain"	"AI PDF chatbot agent built with LangChain & LangGraph "	"TypeScript"	"agents,ai,chatbot,langchain,langgraph,nextjs,openai,pdf,typescript"	"https://github.com/mayooear/ai-pdf-chatbot-langchain"	"16387"
"google-gemini/gemini-fullstack-langgraph-quickstart"	"Get started with building Fullstack Agents using Gemini 2.5 and LangGraph"	"Jupyter Notebook"	"gemini,gemini-api"	"https://github.com/google-gemini/gemini-fullstack-langgraph-quickstart"	"17968"
"ln-dev7/square-ui"	"Collection of beautifully crafted open-source layouts UI built with shadcn/ui."	"TypeScript"	"layout,shadcn-ui,template"	"https://github.com/ln-dev7/square-ui"	"5022"
"kayba-ai/agentic-context-engine"	"≡ƒºá Make your agents learn from experience. Now available as a hosted solution at kayba.ai "	"Python"	"agent-learning,agent-memory,agents,ai,ai-agents,ai-tools,context-engineering,llm,machine-learning,memory,python"	"https://github.com/kayba-ai/agentic-context-engine"	"1970"
"mcp-use/mcp-use"	"The fullstack MCP framework to develop MCP Apps for ChatGPT / Claude & MCP Servers for AI Agents."	"TypeScript"	"agentic-framework,ai,apps-sdk,chatgpt,claude-code,llms,mcp,mcp-apps,mcp-client,mcp-gateway,mcp-host,mcp-inspector,mcp-server,mcp-servers,mcp-tools,mcp-ui,model-context-protocol,modelcontextprotocol,openclaw,skills"	"https://github.com/mcp-use/mcp-use"	"9420"
"N1KH1LT0X1N/SahiPay"	"≡ƒÆ╕ SahiPay: A Voice-First Financial Trust Network for Bharat. Bridging the literacy gap with AI voice-banking, alternative credit scoring, and a ""Grandma-friendly"" UI."	"JavaScript"	"ai,fintech,multilingual,voice-banking"	"https://github.com/N1KH1LT0X1N/SahiPay"	"1"
"N1KH1LT0X1N/GGW-OdooXAmalthea"	"≡ƒÜÇ Full-stack ERP & Project Management system featuring a multi-tenant PostgreSQL schema, Kanban board, and RESTful API built with React and Node.js."	"JavaScript"	"crm,prostgresql,react,restful-api"	"https://github.com/N1KH1LT0X1N/GGW-OdooXAmalthea"	"1"
"N1KH1LT0X1N/Road-Safety-Intervention-Chatbot"	"≡ƒ¢æ An AI-powered system for recommending road safety interventions based on IRC standards, using Google Gemini API and hybrid RAG search."	"Python"	"rag,road-signs,safety"	"https://github.com/N1KH1LT0X1N/Road-Safety-Intervention-Chatbot"	"1"
"N1KH1LT0X1N/MediGuard"	"≡ƒ⌐║ AI-powered clinical triage: blood-test disease prediction + WhatsApp bot (XGBoost, FastAPI)"	"Jupyter Notebook"	"ai,blockchain,fastapi,heathcare-tech,ocr,react,whatsapp-bot,xgboost"	"https://github.com/N1KH1LT0X1N/MediGuard"	"1"
